CN-0162;Nanchang New Airfield;China
CN-0163;Nanchang Xiangtang Air Base;China
CN-0165;Ningbo Zhangqiao Air Base;China
CN-0169;Shanghai Dachang Air Base;China
CN-0182;Zhangshu Air Base;China
CN-0185;Changchun Air Base;China
CN-0187;Chifeng Air Base;China
CN-0189;Dandong Airport;China
CN-0190;Dingxin/Shuangchengzi Air Base;China
CN-0191;Fuxin Air Base;China
CN-0192;Gongzhuling Air Base;China
CN-0193;Harbin Air Base;China
CN-0197;Kaiyuan Air Base;China
CN-0198;Lalin Air Base;China
CN-0201;Pingquan Air Base;China
CN-0204;Shenyang Beiling Air Base;China
CN-0206;Shenyang Yu Hung Tun Air Base;China
CN-0208;Siping Air Base;China
CN-0209;Suizhong Air Base;China
CN-0210;Tuchengzi Air Base;China
CN-JNZ;Sanshilipu Air Base;China
CNC3;Brampton-Caledon Airport;Canada
CY-0002;Lefkoniko Airport;Cyprus
CYAC;Cat Lake Airport;Canada
CYAG;Fort Frances Municipal Airport;Canada
CYAH;La Grande-4 Airport;Canada
CYAL;Alert Bay Airport;Canada
CYAM;Sault Ste Marie Airport;Canada
CYAQ;Kasabonika Airport;Canada
CYAS;Kangirsuk Airport;Canada
CYAT;Attawapiskat Airport;Canada
CYAU;Liverpool South Shore Regional Airport;Canada
CYAV;Winnipeg / St. Andrews Airport;Canada
CYAX;Lac Du Bonnet Airport;Canada
CYAY;St. Anthony Airport;Canada
CYAZ;Tofino / Long Beach Airport;Canada
CYBB;Kugaaruk Airport;Canada
CYBC;Baie Comeau Airport;Canada
CYBD;Bella Coola Airport;Canada
CYBE;Uranium City Airport;Canada
CYBF;Bonnyville Airport;Canada
CYBG;CFB Bagotville;Canada
CYBK;Baker Lake Airport;Canada
CYBL;Campbell River Airport;Canada
CYBQ;Tadoule Lake Airport;Canada
CYBR;Brandon Municipal Airport;Canada
CYBT;Brochet Airport;Canada
CYBU;Nipawin Airport;Canada
CYBV;Berens River Airport;Canada
CYBW;Calgary / Springbank Airport;Canada
CYBX;Lourdes de Blanc Sablon Airport;Canada
CYCA;Cartwright Airport;Canada
CYCB;Cambridge Bay Airport;Canada
CYCC;Cornwall Regional Airport;Canada
CYCD;Nanaimo Airport;Canada
CYCE;Centralia / James T. Field Memorial Aerodrome;Canada
CYCG;Castlegar/West Kootenay Regional Airport;Canada
CYCH;Miramichi Airport;Canada
CYCL;Charlo Airport;Canada
CYCN;Cochrane Airport;Canada
CYCO;Kugluktuk Airport;Canada
CYCP;Blue River Airport;Canada
CYCQ;Chetwynd Airport;Canada
CYCR;Cross Lake (Charlie Sinclair Memorial) Airport;Canada
CYCS;Chesterfield Inlet Airport;Canada
CYCY;Clyde River Airport;Canada
CYDA;Dawson City Airport;Canada
CYDB;Burwash Airport;Canada
CYDC;Princeton Airport;Canada
CYDF;Deer Lake Airport;Canada
CYDM;Ross River Airport;Canada
CYDN;Dauphin Barker Airport;Canada
CYDO;Dolbeau St Felicien Airport;Canada
CYDP;Nain Airport;Canada
CYDQ;Dawson Creek Airport;Canada
CYEE;Huronia Airport;Canada
CYEG;Edmonton International Airport;Canada
CYEK;Arviat Airport;Canada
CYEL;Elliot Lake Municipal Airport;Canada
CYEM;Manitoulin East Municipal Airport;Canada
CYEN;Estevan Airport;Canada
CYER;Fort Severn Airport;Canada
CYET;Edson Airport;Canada
CYEV;Inuvik Mike Zubko Airport;Canada
CYEY;Amos/Magny Airport;Canada
CYFA;Fort Albany Airport;Canada
CYFB;Iqaluit Airport;Canada
CYFC;Fredericton Airport;Canada
CYFE;Forestville Airport;Canada
CYFH;Fort Hope Airport;Canada
CYFJ;La Macaza / Mont-Tremblant International Inc Airport;Canada
CYFO;Flin Flon Airport;Canada
CYFR;Fort Resolution Airport;Canada
CYFS;Fort Simpson Airport;Canada
CYFT;Makkovik Airport;Canada
CYGB;Texada Gillies Bay Airport;Canada
CYGD;Goderich Airport;Canada
CYGE;Golden Airport;Canada
CYGH;Fort Good Hope Airport;Canada
CYGK;Kingston Norman Rogers Airport;Canada
CYGL;La Grande Riviere Airport;Canada
CYGM;Gimli Industrial Park Airport;Canada
CYGO;Gods Lake Narrows Airport;Canada
CYGP;Gaspé (Michel-Pouliot) Airport;Canada
CYGQ;Geraldton Greenstone Regional Airport;Canada
CYGR;ÃƒÂŽles-de-la-Madeleine Airport;Canada
CYGT;Igloolik Airport;Canada
CYGV;Havre St Pierre Airport;Canada
CYGW;Kuujjuarapik Airport;Canada
CYGX;Gillam Airport;Canada
CYGZ;Grise Fiord Airport;Canada
CYHA;Quaqtaq Airport;Canada
CYHD;Dryden Regional Airport;Canada
CYHE;Hope Airport;Canada
CYHF;Hearst René Fontaine Municipal Airport;Canada
CYHH;Nemiscau Airport;Canada
CYHI;Ulukhaktok Holman Airport;Canada
CYHK;Gjoa Haven Airport;Canada
CYHM;John C. Munro Hamilton International Airport;Canada
CYHN;Hornepayne Municipal Airport;Canada
CYHO;Hopedale Airport;Canada
CYHR;Chevery Airport;Canada
CYHT;Haines Junction Airport;Canada
CYHU;Montreal / Saint-Hubert Airport;Canada
CYHY;Hay River / Merlyn Carter Airport;Canada
CYHZ;Halifax / Stanfield International Airport;Canada
CYIB;Atikokan Municipal Airport;Canada
CYID;Digby / Annapolis Regional Airport;Canada
CYIF;St Augustin Airport;Canada
CYIK;Ivujivik Airport;Canada
CYIO;Pond Inlet Airport;Canada
CYIV;Island Lake Airport;Canada
CYJF;Fort Liard Airport;Canada
CYJN;St Jean Airport;Canada
CYJT;Stephenville Airport;Canada
CYKA;Kamloops Airport;Canada
CYKD;Aklavik/Freddie Carmichael Airport;Canada
CYKF;Waterloo Airport;Canada
CYKG;Kangiqsujuaq (Wakeham Bay) Airport;Canada
CYKJ;Key Lake Airport;Canada
CYKL;Schefferville Airport;Canada
CYKO;Akulivik Airport;Canada
CYKQ;Waskaganish Airport;Canada
CYKX;Kirkland Lake Airport;Canada
CYKY;Kindersley Airport;Canada
CYKZ;Buttonville Municipal Airport;Canada
CYLA;Aupaluk Airport;Canada
CYLC;Kimmirut Airport;Canada
CYLD;Chapleau Airport;Canada
CYLH;Lansdowne House Airport;Canada
CYLJ;Meadow Lake Airport;Canada
CYLK;Lutselk'e Airport;Canada
CYLL;Lloydminster Airport;Canada
CYLR;Leaf Rapids Airport;Canada
CYLT;Alert Airport;Canada
CYLU;Kangiqsualujjuaq (Georges River) Airport;Canada
CYLW;Kelowna International Airport;Canada
CYMA;Mayo Airport;Canada
CYME;Matane Airport;Canada
CYMG;Manitouwadge Airport;Canada
CYMH;Mary's Harbour Airport;Canada
CYMJ;Moose Jaw Air Vice Marshal C. M. McEwen Airport;Canada
CYML;Charlevoix Airport;Canada
CYMM;Fort McMurray Airport;Canada
CYMO;Moosonee Airport;Canada
CYMT;Chapais Airport;Canada
CYMU;Umiujaq Airport;Canada
CYMX;Montreal International (Mirabel) Airport;Canada
CYNA;Natashquan Airport;Canada
CYNC;Wemindji Airport;Canada
CYND;Ottawa / Gatineau Airport;Canada
CYNE;Norway House Airport;Canada
CYNL;Points North Landing Airport;Canada
CYNM;Matagami Airport;Canada
CYNN;Nejanilini Lake Airport;Canada
CYOA;Ekati Airport;Canada
CYOC;Old Crow Airport;Canada
CYOD;CFB Cold Lake;Canada
CYOH;Oxford House Airport;Canada
CYOJ;High Level Airport;Canada
CYOO;Toronto/Oshawa Executive Airport;Canada
CYOP;Rainbow Lake Airport;Canada
CYOS;Owen Sound / Billy Bishop Regional Airport;Canada
CYOW;Ottawa Macdonald-Cartier International Airport;Canada
CYPA;Prince Albert Glass Field;Canada
CYPC;Paulatuk (Nora Aliqatchialuk Ruben) Airport;Canada
CYPD;Port Hawkesbury Airport;Canada
CYPE;Peace River Airport;Canada
CYPG;Portage-la-Prairie / Southport Airport;Canada
CYPH;Inukjuak Airport;Canada
CYPL;Pickle Lake Airport;Canada
CYPM;Pikangikum Airport;Canada
CYPN;Port Menier Airport;Canada
CYPO;Peawanuck Airport;Canada
CYPQ;Peterborough Airport;Canada
CYPR;Prince Rupert Airport;Canada
CYPW;Powell River Airport;Canada
CYPX;Puvirnituq Airport;Canada
CYPY;Fort Chipewyan Airport;Canada
CYQA;Muskoka Airport;Canada
CYQB;Quebec Jean Lesage International Airport;Canada
CYQD;The Pas Airport;Canada
CYQF;Red Deer Regional Airport;Canada
CYQG;Windsor Airport;Canada
CYQH;Watson Lake Airport;Canada
CYQI;Yarmouth Airport;Canada
CYQK;Kenora Airport;Canada
CYQL;Lethbridge County Airport;Canada
CYQM;Greater Moncton Roméo LeBlanc International Airport;Canada
CYQN;Nakina Airport;Canada
CYQQ;Comox Airport;Canada
CYQR;Regina International Airport;Canada
CYQS;St Thomas Municipal Airport;Canada
CYQT;Thunder Bay Airport;Canada
CYQU;Grande Prairie Airport;Canada
CYQV;Yorkton Municipal Airport;Canada
CYQW;North Battleford Airport;Canada
CYQX;Gander International Airport;Canada
CYQY;Sydney / J.A. Douglas McCurdy Airport;Canada
CYQZ;Quesnel Airport;Canada
CYRA;Rae Lakes Airport;Canada
CYRB;Resolute Bay Airport;Canada
CYRI;Riviere-du-Loup Airport;Canada
CYRJ;Roberval Airport;Canada
CYRL;Red Lake Airport;Canada
CYRO;Ottawa / Rockcliffe Airport;Canada
CYRP;Ottawa / Carp Airport;Canada
CYRQ;Trois-RiviÃƒÂ¨res Airport;Canada
CYRS;Red Sucker Lake Airport;Canada
CYRT;Rankin Inlet Airport;Canada
CYRV;Revelstoke Airport;Canada
CYSB;Sudbury Airport;Canada
CYSC;Sherbrooke Airport;Canada
CYSF;Stony Rapids Airport;Canada
CYSG;St Georges Airport;Canada
CYSH;Smiths Falls-Montague (Russ Beach) Airport;Canada
CYSJ;Saint John Airport;Canada
CYSK;Sanikiluaq Airport;Canada
CYSL;St Leonard Airport;Canada
CYSM;Fort Smith Airport;Canada
CYSN;Niagara District Airport;Canada
CYSP;Marathon Airport;Canada
CYST;St. Theresa Point Airport;Canada
CYSU;Summerside Airport;Canada
CYSY;Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport;Canada
CYTA;Pembroke Airport;Canada
CYTE;Cape Dorset Airport;Canada
CYTF;Alma Airport;Canada
CYTH;Thompson Airport;Canada
CYTL;Big Trout Lake Airport;Canada
CYTQ;Tasiujaq Airport;Canada
CYTR;CFB Trenton;Canada
CYTS;Timmins/Victor M. Power;Canada
CYTZ;Billy Bishop Toronto City Centre Airport;Canada
CYUB;Tuktoyaktuk Airport;Canada
CYUL;Montreal / Pierre Elliott Trudeau International Airport;Canada
CYUT;Naujaat Airport;Canada
CYUX;Hall Beach Airport;Canada
CYUY;Rouyn Noranda Airport;Canada
CYVB;Bonaventure Airport;Canada
CYVC;La Ronge Airport;Canada
CYVD;Virden/R.J. (Bob) Andrew Field Regional Aerodrome;Canada
CYVK;Vernon Airport;Canada
CYVM;Qikiqtarjuaq Airport;Canada
CYVO;Val-d'Or Airport;Canada
CYVP;Kuujjuaq Airport;Canada
CYVQ;Norman Wells Airport;Canada
CYVR;Vancouver International Airport;Canada
CYVV;Wiarton Airport;Canada
CYVZ;Deer Lake Airport;Canada
CYWA;Petawawa Airport;Canada
CYWG;Winnipeg / James Armstrong Richardson International Airport;Canada
CYWJ;Déline Airport;Canada
CYWK;Wabush Airport;Canada
CYWL;Williams Lake Airport;Canada
CYWP;Webequie Airport;Canada
CYWY;Wrigley Airport;Canada
CYXC;Cranbrook/Canadian Rockies International Airport;Canada
CYXE;Saskatoon John G. Diefenbaker International Airport;Canada
CYXH;Medicine Hat Airport;Canada
CYXJ;Fort St John Airport;Canada
CYXK;Rimouski Airport;Canada
CYXL;Sioux Lookout Airport;Canada
CYXN;Whale Cove Airport;Canada
CYXP;Pangnirtung Airport;Canada
CYXQ;Beaver Creek Airport;Canada
CYXR;Earlton (Timiskaming Regional) Airport;Canada
CYXS;Prince George Airport;Canada
